sentence,classification,prev2,prev1,next1,next2
"And that was the time when O'Connor had in his district in Squirrel Hill if a child got into any kind of problem, they had a person that they could contact and they would pay any restitution that needed to be paid.",i,I remember KDKA.,"the one man was hollering: yeah, you criminals up here in the Hill, you're going to jail.","Unlike with black children, you go right to juvenile court or to jail.","Now you talk about the Hill District being so bad and so dangerous, but you know something: traveling through the Hill District where I live at."
"Unlike with black children, you go right to juvenile court or to jail.",i,"the one man was hollering: yeah, you criminals up here in the Hill, you're going to jail.","And that was the time when O'Connor had in his district in Squirrel Hill if a child got into any kind of problem, they had a person that they could contact and they would pay any restitution that needed to be paid.","Now you talk about the Hill District being so bad and so dangerous, but you know something: traveling through the Hill District where I live at.","as I was going down Wally Avenue up by the restaurant, up at the top of Wally, we're looking and there's deer, about 20 or 30 laying down, And over across the street there was about five or six more."
"Now you talk about the Hill District being so bad and so dangerous, but you know something: traveling through the Hill District where I live at.",i,"And that was the time when O'Connor had in his district in Squirrel Hill if a child got into any kind of problem, they had a person that they could contact and they would pay any restitution that needed to be paid.","Unlike with black children, you go right to juvenile court or to jail.","as I was going down Wally Avenue up by the restaurant, up at the top of Wally, we're looking and there's deer, about 20 or 30 laying down, And over across the street there was about five or six more.",My grandbabies say: look at the deer.
"as I was going down Wally Avenue up by the restaurant, up at the top of Wally, we're looking and there's deer, about 20 or 30 laying down, And over across the street there was about five or six more.",i,"Unlike with black children, you go right to juvenile court or to jail.","Now you talk about the Hill District being so bad and so dangerous, but you know something: traveling through the Hill District where I live at.",My grandbabies say: look at the deer.,I thought they couldn't lay down because we heard horses can't lay down but they're sick.
My grandbabies say: look at the deer.,i,"Now you talk about the Hill District being so bad and so dangerous, but you know something: traveling through the Hill District where I live at.","as I was going down Wally Avenue up by the restaurant, up at the top of Wally, we're looking and there's deer, about 20 or 30 laying down, And over across the street there was about five or six more.",I thought they couldn't lay down because we heard horses can't lay down but they're sick.,they can't lay down but they do lay down.
I thought they couldn't lay down because we heard horses can't lay down but they're sick.,i,"as I was going down Wally Avenue up by the restaurant, up at the top of Wally, we're looking and there's deer, about 20 or 30 laying down, And over across the street there was about five or six more.",My grandbabies say: look at the deer.,they can't lay down but they do lay down.,But do you understand you?
they can't lay down but they do lay down.,i,My grandbabies say: look at the deer.,I thought they couldn't lay down because we heard horses can't lay down but they're sick.,But do you understand you?,people say how dangerous the Hill is.
But do you understand you?,i,I thought they couldn't lay down because we heard horses can't lay down but they're sick.,they can't lay down but they do lay down.,people say how dangerous the Hill is.,"the wild animals, God's animals, know where to come."
people say how dangerous the Hill is.,b,they can't lay down but they do lay down.,But do you understand you?,"the wild animals, God's animals, know where to come.",They know you ain't coming up there because you know why they ain't coming.
"the wild animals, God's animals, know where to come.",i,But do you understand you?,people say how dangerous the Hill is.,They know you ain't coming up there because you know why they ain't coming.,"I can remember Ms Gross- and I really don't care for her, And it was because of what she said."
They know you ain't coming up there because you know why they ain't coming.,i,people say how dangerous the Hill is.,"the wild animals, God's animals, know where to come.","I can remember Ms Gross- and I really don't care for her, And it was because of what she said.","She said, ah, when they were getting a new police chief, they said they would come to every neighborhood."
"I can remember Ms Gross- and I really don't care for her, And it was because of what she said.",i,"the wild animals, God's animals, know where to come.",They know you ain't coming up there because you know why they ain't coming.,"She said, ah, when they were getting a new police chief, they said they would come to every neighborhood.","Well, she stood up and said, ah, me and Bill Perduto decided that all the Hill District would come to Lawrenceville."
"She said, ah, when they were getting a new police chief, they said they would come to every neighborhood.",i,They know you ain't coming up there because you know why they ain't coming.,"I can remember Ms Gross- and I really don't care for her, And it was because of what she said.","Well, she stood up and said, ah, me and Bill Perduto decided that all the Hill District would come to Lawrenceville.",That means two buses to get there And they only have to take one.
"Well, she stood up and said, ah, me and Bill Perduto decided that all the Hill District would come to Lawrenceville.",i,"I can remember Ms Gross- and I really don't care for her, And it was because of what she said.","She said, ah, when they were getting a new police chief, they said they would come to every neighborhood.",That means two buses to get there And they only have to take one.,"When we would come to speak at city council, all we had to do is take one."
That means two buses to get there And they only have to take one.,i,"She said, ah, when they were getting a new police chief, they said they would come to every neighborhood.","Well, she stood up and said, ah, me and Bill Perduto decided that all the Hill District would come to Lawrenceville.","When we would come to speak at city council, all we had to do is take one.",Why would you make us go to Lawrenceville?
"When we would come to speak at city council, all we had to do is take one.",i,"Well, she stood up and said, ah, me and Bill Perduto decided that all the Hill District would come to Lawrenceville.",That means two buses to get there And they only have to take one.,Why would you make us go to Lawrenceville?,"But you know something: I'm telling you that I'm gonna keep coming and fighting because you need to hear the people, Just like your president said that beautiful woman."
Why would you make us go to Lawrenceville?,b,That means two buses to get there And they only have to take one.,"When we would come to speak at city council, all we had to do is take one.","But you know something: I'm telling you that I'm gonna keep coming and fighting because you need to hear the people, Just like your president said that beautiful woman.",you hear what she said.
"But you know something: I'm telling you that I'm gonna keep coming and fighting because you need to hear the people, Just like your president said that beautiful woman.",i,"When we would come to speak at city council, all we had to do is take one.",Why would you make us go to Lawrenceville?,you hear what she said.,You need to hear us.
you hear what she said.,i,Why would you make us go to Lawrenceville?,"But you know something: I'm telling you that I'm gonna keep coming and fighting because you need to hear the people, Just like your president said that beautiful woman.",You need to hear us.,I was at a post-sick.
You need to hear us.,i,"But you know something: I'm telling you that I'm gonna keep coming and fighting because you need to hear the people, Just like your president said that beautiful woman.",you hear what she said.,I was at a post-sick.,"I was at a- I'm talking fast but please excuse me, You need to hear this."
I was at a post-sick.,i,you hear what she said.,You need to hear us.,"I was at a- I'm talking fast but please excuse me, You need to hear this.",I was somewhere and I said I had went to Jamaica.
"I was at a- I'm talking fast but please excuse me, You need to hear this.",i,You need to hear us.,I was at a post-sick.,I was somewhere and I said I had went to Jamaica.,"Well, there was a Jamaican man."
I was somewhere and I said I had went to Jamaica.,i,I was at a post-sick.,"I was at a- I'm talking fast but please excuse me, You need to hear this.","Well, there was a Jamaican man.",So he's asking me: where did I go?
"Well, there was a Jamaican man.",i,"I was at a- I'm talking fast but please excuse me, You need to hear this.",I was somewhere and I said I had went to Jamaica.,So he's asking me: where did I go?,"I knew Kingston, but then I said: wait a minute, there's a mountain, real tall mountain, where there had been a Jamaican man and a white woman."
So he's asking me: where did I go?,i,I was somewhere and I said I had went to Jamaica.,"Well, there was a Jamaican man.","I knew Kingston, but then I said: wait a minute, there's a mountain, real tall mountain, where there had been a Jamaican man and a white woman.",They had run away.
"I knew Kingston, but then I said: wait a minute, there's a mountain, real tall mountain, where there had been a Jamaican man and a white woman.",i,"Well, there was a Jamaican man.",So he's asking me: where did I go?,They had run away.,"They had told him: come back, We will not kill you, You can be together."
They had run away.,i,So he's asking me: where did I go?,"I knew Kingston, but then I said: wait a minute, there's a mountain, real tall mountain, where there had been a Jamaican man and a white woman.","They had told him: come back, We will not kill you, You can be together.",But they jumped off and killed themselves.
"They had told him: come back, We will not kill you, You can be together.",i,"I knew Kingston, but then I said: wait a minute, there's a mountain, real tall mountain, where there had been a Jamaican man and a white woman.",They had run away.,But they jumped off and killed themselves.,"Now, the Jamaican man didn't know."
But they jumped off and killed themselves.,i,They had run away.,"They had told him: come back, We will not kill you, You can be together.","Now, the Jamaican man didn't know.","Thank you, Ms Brown."
"Now, the Jamaican man didn't know.",b,"They had told him: come back, We will not kill you, You can be together.",But they jumped off and killed themselves.,"Thank you, Ms Brown.","Okay, I'm sorry."
"Thank you, Ms Brown.",b,But they jumped off and killed themselves.,"Now, the Jamaican man didn't know.","Okay, I'm sorry.","Thank you, Ms Brown."
"Okay, I'm sorry.",i,"Now, the Jamaican man didn't know.","Thank you, Ms Brown.","Thank you, Ms Brown.",You don't know.
"Thank you, Ms Brown.",i,"Thank you, Ms Brown.","Okay, I'm sorry.",You don't know.,"Thank you, Ms Brown."
You don't know.,i,"Okay, I'm sorry.","Thank you, Ms Brown.","Thank you, Ms Brown.","Next speaker, please."
"Thank you, Ms Brown.",i,"Thank you, Ms Brown.",You don't know.,"Next speaker, please.","Next speaker, please Seeing no further speakers."
"Next speaker, please.",b,You don't know.,"Thank you, Ms Brown.","Next speaker, please Seeing no further speakers.","we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you."
"Next speaker, please Seeing no further speakers.",i,"Thank you, Ms Brown.","Next speaker, please.","we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you.","Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you."
"we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you.",b,"Next speaker, please.","Next speaker, please Seeing no further speakers.","Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you.","Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you."
"Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you.",i,"Next speaker, please Seeing no further speakers.","we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you.","Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you.","Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry."
"Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you.",i,"we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you.","Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you.","Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.","Councilman Mosley, Chair of Intergovernmental Educational Affairs."
"Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.",i,"Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you.","Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you.","Councilman Mosley, Chair of Intergovernmental Educational Affairs.","Thank you, Mr President."
"Councilman Mosley, Chair of Intergovernmental Educational Affairs.",b,"Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you.","Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.","Thank you, Mr President.",Thank you Back to the clerk.
"Thank you, Mr President.",b,"Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.","Councilman Mosley, Chair of Intergovernmental Educational Affairs.",Thank you Back to the clerk.,"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962."
Thank you Back to the clerk.,i,"Councilman Mosley, Chair of Intergovernmental Educational Affairs.","Thank you, Mr President.","Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962.",24.
"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962.",b,"Thank you, Mr President.",Thank you Back to the clerk.,24.,"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000."
24.,i,Thank you Back to the clerk.,"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962.","Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000.",00.
"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000.",i,"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962.",24.,00.,"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County."
00.,i,24.,"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000.","Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County.","Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City."
"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County.",b,"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000.",00.,"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.","Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000."
"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.",i,00.,"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County.","Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000.",00.
"Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000.",b,"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County.","Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.",00.,"195,000."
00.,b,"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.","Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000.","195,000.","00 cost, 153,000."
"195,000.",i,"Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000.",00.,"00 cost, 153,000.","00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city."
"00 cost, 153,000.",i,00.,"195,000.","00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.","In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city."
"00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.",i,"195,000.","00 cost, 153,000.","In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.","In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city."
"In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.",i,"00 cost, 153,000.","00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.","In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.","In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024."
"In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.",i,"00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.","In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.","In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024.",and.
"In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024.",i,"In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.","In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.",and.,"councilwoman warwick, chair of public works and infrastructure."
and.,b,"In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.","In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024.","councilwoman warwick, chair of public works and infrastructure.","thank you, mr president."
"councilwoman warwick, chair of public works and infrastructure.",b,"In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024.",and.,"thank you, mr president.","thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project."
"thank you, mr president.",b,and.,"councilwoman warwick, chair of public works and infrastructure.","thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project.","the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures."
"thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project.",b,"councilwoman warwick, chair of public works and infrastructure.","thank you, mr president.","the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures.",and.
"the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures.",i,"thank you, mr president.","thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project.",and.,"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year."
and.,i,"thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project.","the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures.","bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year.",And.
"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year.",b,"the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures.",and.,And.,"Councilman Wilson, Chair of Land Use and Economic Development."
And.,b,and.,"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year.","Councilman Wilson, Chair of Land Use and Economic Development.","Thank you, Mr President."
"Councilman Wilson, Chair of Land Use and Economic Development.",b,"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year.",And.,"Thank you, Mr President.","Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement."
"Thank you, Mr President.",b,And.,"Councilman Wilson, Chair of Land Use and Economic Development.","Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement.","And I have four, If you could first read the appointment."
"Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement.",b,"Councilman Wilson, Chair of Land Use and Economic Development.","Thank you, Mr President.","And I have four, If you could first read the appointment.",Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029.
"And I have four, If you could first read the appointment.",b,"Thank you, Mr President.","Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement.",Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029.,We need a motion to either interview or approve.
Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029.,b,"Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement.","And I have four, If you could first read the appointment.",We need a motion to either interview or approve.,"Motion to approve: Second: All those in favor say aye, Aye."
We need a motion to either interview or approve.,i,"And I have four, If you could first read the appointment.",Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029.,"Motion to approve: Second: All those in favor say aye, Aye.",Any opposed.
"Motion to approve: Second: All those in favor say aye, Aye.",i,Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029.,We need a motion to either interview or approve.,Any opposed.,The appointment has been approved.
Any opposed.,i,We need a motion to either interview or approve.,"Motion to approve: Second: All those in favor say aye, Aye.",The appointment has been approved.,And now we have three communications.
The appointment has been approved.,i,"Motion to approve: Second: All those in favor say aye, Aye.",Any opposed.,And now we have three communications.,"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025."
And now we have three communications.,b,Any opposed.,The appointment has been approved.,"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.","And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500."
"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.",i,The appointment has been approved.,And now we have three communications.,"And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.","And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025."
